EmployeeID,Attrition,Attrition_Flag,Age,MaritalStatus,DistanceFromHome,JobRole,OverTime,MonthlyIncome,StockOptionLevel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,PerformanceRating,TotalWorkingYears,NumCompaniesWorked,YearsAtCompany,YearsSinceLastPromotion
EMP001,No,0,24,Married,3,Sales Executive,No,4999,1,3,1,2,4,4,0,3,0
EMP002,No,0,34,Single,21,Sales Executive,No,5337,0,4,4,3,3,10,1,10,5
EMP003,No,0,29,Married,6,Human Resources,No,2804,0,2,4,3,3,1,1,1,0
EMP004,No,0,38,Single,1,Research Scientist,No,2619,0,1,3,2,3,8,3,0,0
EMP005,No,0,32,Married,8,Sales Executive,Yes,5228,0,2,3,3,3,13,1,13,11
EMP006,No,0,41,Single,10,Sales Executive,No,6230,0,4,4,3,3,16,7,14,1
EMP007,No,0,37,Married,1,Manufacturing Director,No,6447,1,2,2,2,3,8,6,6,4
EMP008,Yes,1,35,Single,27,Sales Executive,Yes,5813,0,4,3,3,3,10,1,10,7
EMP009,Yes,1,26,Single,25,Laboratory Technician,No,2293,0,3,1,2,3,1,1,1,0
EMP010,No,0,50,Divorced,2,Manager,No,17924,1,1,1,3,3,31,1,31,14
EMP011,No,0,37,Married,10,Research Director,Yes,13744,1,4,3,3,4,16,1,16,6
EMP012,Yes,1,31,Single,9,Research Scientist,Yes,2321,0,1,3,3,4,4,0,3,1
EMP013,No,0,31,Married,7,Sales Executive,No,9637,2,1,1,3,3,9,2,3,2
EMP014,No,0,40,Married,2,Laboratory Technician,No,3377,1,1,3,2,3,7,4,4,0
EMP015,Yes,1,47,Single,27,Sales Executive,Yes,6397,0,3,2,3,3,8,4,5,1
EMP016,Yes,1,46,Married,10,Sales Executive,No,7314,3,2,3,3,4,14,5,8,0
EMP017,No,0,29,Divorced,7,Healthcare Representative,Yes,6623,2,4,3,3,3,6,1,6,1
EMP018,No,0,47,Married,2,Sales Executive,No,4978,1,2,3,1,3,4,7,1,0
EMP019,No,0,38,Married,10,Human Resources,No,6077,0,3,3,3,3,10,3,6,1
EMP020,No,0,55,Single,2,Manager,Yes,16659,0,4,3,3,3,30,2,5,1
EMP021,No,0,38,Married,2,Manufacturing Director,No,6553,0,3,4,3,3,14,9,1,0
EMP022,No,0,25,Married,28,Sales Executive,No,8639,0,3,1,3,3,6,2,2,2
EMP023,No,0,48,Married,15,Research Scientist,No,2367,1,1,3,2,3,10,8,8,7
EMP024,No,0,36,Married,1,Manufacturing Director,No,4374,0,3,4,3,3,4,0,3,1
EMP025,No,0,29,Married,8,Healthcare Representative,No,9715,1,1,3,3,3,9,3,7,0
EMP026,No,0,23,Single,10,Research Scientist,No,3505,0,3,1,3,3,2,1,2,0
EMP027,No,0,34,Married,1,Manufacturing Director,No,4325,0,2,1,3,3,5,1,5,1
EMP028,No,0,25,Divorced,2,Laboratory Technician,Yes,3977,1,3,4,2,3,7,6,2,0
EMP029,No,0,41,Divorced,9,Sales Executive,Yes,8189,1,3,3,3,3,12,3,9,0
EMP030,No,0,29,Married,1,Healthcare Representative,No,5373,1,1,1,2,3,6,0,5,0
EMP031,No,0,35,Married,18,Sales Executive,No,9069,1,1,2,2,4,9,1,9,1
EMP032,No,0,35,Single,1,Sales Executive,No,8789,0,3,3,4,3,10,1,10,0
EMP033,No,0,32,Married,5,Sales Executive,No,6524,1,2,2,3,3,10,1,10,5
EMP034,No,0,30,Single,2,Laboratory Technician,No,2564,0,4,3,2,3,12,0,11,6
EMP035,No,0,35,Married,6,Research Scientist,Yes,3506,0,3,3,3,3,4,0,3,2
EMP036,No,0,40,Married,2,Laboratory Technician,No,3448,1,3,2,3,4,20,6,1,0
EMP037,No,0,50,Married,28,Research Director,Yes,16880,0,1,4,3,3,25,4,3,1
EMP038,No,0,50,Single,10,Healthcare Representative,No,10496,0,4,4,3,3,20,6,4,1
EMP039,No,0,33,Married,5,Manager,No,11878,2,2,4,3,3,12,6,10,8
EMP040,No,0,29,Married,15,Research Scientist,Yes,2168,1,4,2,2,3,6,0,5,1
EMP041,No,0,31,Single,2,Sales Executive,Yes,6582,0,4,2,4,3,10,4,6,0
EMP042,Yes,1,32,Single,9,Laboratory Technician,No,4200,0,1,1,4,4,10,7,5,0
EMP043,No,0,20,Single,9,Sales Representative,No,2728,0,1,4,3,3,2,1,2,0
EMP044,No,0,50,Divorced,1,Manager,No,19517,1,4,4,2,3,32,3,7,0
EMP045,No,0,34,Single,6,Research Scientist,No,4809,0,3,1,3,3,16,1,16,2
EMP046,Yes,1,36,Married,3,Sales Executive,Yes,10325,1,4,3,3,3,16,1,16,3
EMP047,No,0,32,Single,8,Sales Executive,No,8998,0,4,2,3,3,9,1,9,3
EMP048,No,0,50,Married,28,Laboratory Technician,Yes,3221,3,3,4,3,3,20,1,20,3
EMP049,No,0,25,Married,1,Laboratory Technician,No,3229,1,4,1,2,3,7,4,3,0
EMP050,No,0,46,Single,2,Manager,No,18947,0,1,2,2,3,22,3,2,2
EMP051,No,0,24,Married,4,Laboratory Technician,No,3162,0,4,1,2,3,6,0,5,3
EMP052,Yes,1,31,Single,8,Research Scientist,No,1261,0,2,1,4,3,1,1,1,0
EMP053,No,0,47,Married,14,Research Scientist,No,5467,1,2,3,4,3,16,8,8,1
EMP054,No,0,53,Divorced,13,Manufacturing Director,No,4450,2,1,4,3,3,5,1,4,1
EMP055,No,0,45,Divorced,7,Research Scientist,No,9724,1,1,2,3,3,25,2,1,0
EMP056,No,0,22,Married,1,Manufacturing Director,No,4775,2,4,4,1,4,4,6,2,2
EMP057,No,0,32,Married,13,Laboratory Technician,No,2743,1,2,3,3,4,2,1,2,2
EMP058,No,0,23,Married,4,Research Scientist,No,2819,1,1,1,4,3,5,2,3,0
EMP059,Yes,1,39,Married,5,Sales Representative,No,2086,1,4,4,4,3,19,3,1,0
EMP060,No,0,53,Married,7,Sales Executive,Yes,10934,1,4,1,3,3,35,7,5,0
EMP061,Yes,1,37,Divorced,6,Human Resources,Yes,2073,0,1,3,3,4,7,4,3,0
EMP062,No,0,39,Married,1,Laboratory Technician,Yes,6472,1,4,4,3,3,9,1,9,5
EMP063,No,0,36,Married,3,Sales Executive,No,7644,2,4,1,3,3,10,0,9,3
EMP064,No,0,26,Married,2,Manufacturing Director,No,5472,0,4,4,3,3,8,1,8,1
EMP065,No,0,37,Divorced,1,Research Director,Yes,13603,2,4,1,3,3,15,2,5,0
EMP066,No,0,40,Single,6,Manager,Yes,16437,0,4,3,3,4,21,1,21,7
EMP067,No,0,32,Married,7,Laboratory Technician,No,2794,0,2,2,1,4,5,1,5,0
EMP068,Yes,1,26,Single,29,Sales Executive,No,4969,0,1,2,3,3,7,8,2,2
EMP069,No,0,50,Married,1,Sales Executive,No,6347,1,3,4,3,3,19,0,18,0
EMP070,No,0,36,Divorced,9,Manufacturing Director,Yes,8847,1,2,2,3,3,13,2,3,0
EMP071,No,0,34,Single,7,Research Scientist,No,2972,0,4,1,1,3,1,1,1,0
EMP072,No,0,32,Single,29,Laboratory Technician,No,2837,0,2,3,3,3,6,1,6,4
EMP073,No,0,31,Divorced,26,Research Scientist,No,2911,1,3,1,2,3,5,1,5,4
EMP074,No,0,28,Married,19,Laboratory Technician,No,3196,3,1,4,3,3,6,1,6,3
EMP075,No,0,19,Single,3,Laboratory Technician,No,1483,0,2,2,3,3,1,1,1,0
EMP076,No,0,38,Single,16,Sales Executive,No,4198,0,2,2,4,3,8,2,3,1
EMP077,No,0,42,Married,6,Research Director,No,13348,1,1,3,4,3,18,9,13,5
EMP078,No,0,25,Single,26,Sales Executive,No,6180,0,4,3,2,4,6,1,6,1
EMP079,No,0,39,Married,24,Sales Executive,No,12031,1,4,2,2,3,21,0,20,9
EMP080,No,0,42,Married,2,Healthcare Representative,No,4089,2,4,3,3,3,10,1,10,2
EMP081,No,0,38,Divorced,2,Sales Executive,No,6893,1,1,2,3,3,11,3,7,1
EMP082,No,0,53,Single,1,Sales Executive,No,8381,0,1,4,4,4,18,7,14,8
EMP083,No,0,37,Married,13,Research Scientist,No,4285,0,4,1,3,3,10,1,10,3
EMP084,Yes,1,56,Married,14,Research Scientist,Yes,4963,3,2,2,3,3,7,9,5,4
EMP085,Yes,1,56,Married,7,Laboratory Technician,No,2339,1,3,4,1,3,14,8,10,9
EMP086,No,0,30,Divorced,23,Research Scientist,No,2613,3,3,1,2,4,10,1,10,0
EMP087,No,0,35,Single,5,Manufacturing Director,No,8095,0,2,3,3,3,17,0,16,0
EMP088,No,0,29,Divorced,1,Research Scientist,No,2720,1,4,2,3,3,10,1,10,2
EMP089,Yes,1,29,Married,23,Sales Executive,No,7336,1,1,4,1,3,11,1,11,3
EMP090,No,0,18,Single,5,Research Scientist,No,1051,0,4,2,3,3,0,1,0,0
EMP091,No,0,29,Single,28,Research Scientist,No,3785,0,1,4,1,3,5,1,5,0
EMP092,No,0,49,Married,5,Healthcare Representative,No,6651,1,3,1,2,3,20,2,3,1
EMP093,No,0,33,Divorced,6,Healthcare Representative,No,7725,1,4,3,1,4,15,3,13,4
EMP094,No,0,40,Divorced,12,Healthcare Representative,No,4448,1,1,2,3,3,15,2,7,7
EMP095,No,0,44,Single,17,Research Scientist,No,2290,0,3,4,3,3,6,2,0,0
EMP096,Yes,1,46,Divorced,9,Sales Executive,No,10096,1,4,1,4,3,28,4,7,4
EMP097,No,0,33,Single,25,Manufacturing Director,No,4320,0,2,4,3,3,5,1,5,0
EMP098,No,0,34,Single,1,Research Scientist,No,3280,0,4,2,3,3,10,2,4,1
EMP099,No,0,27,Divorced,4,Research Scientist,No,2517,3,3,1,3,3,5,1,5,0
EMP100,No,0,40,Married,2,Research Scientist,No,2001,3,3,3,3,3,20,2,5,0
EMP101,No,0,44,Married,1,Human Resources,Yes,5743,0,4,1,3,3,14,4,10,0
EMP102,No,0,46,Married,2,Manager,No,17048,0,1,3,3,4,28,8,26,15
EMP103,No,0,37,Married,1,Manufacturing Director,No,6474,1,4,4,2,3,14,1,14,3
EMP104,No,0,37,Single,11,Laboratory Technician,No,3629,0,3,1,3,3,8,4,3,0
EMP105,No,0,28,Divorced,15,Laboratory Technician,No,2207,1,3,1,2,3,4,1,4,2
EMP106,No,0,35,Married,7,Sales Executive,Yes,5204,0,4,3,3,3,10,1,10,0
EMP107,No,0,38,Divorced,9,Research Scientist,No,4771,2,4,2,4,3,10,2,5,0
EMP108,No,0,44,Married,9,Research Scientist,Yes,2559,0,1,2,3,3,8,1,8,7
EMP109,No,0,33,Married,7,Sales Executive,No,4302,1,2,4,3,3,4,0,3,0
EMP110,No,0,38,Married,6,Manufacturing Director,No,5321,1,3,1,3,3,10,2,8,7
EMP111,No,0,36,Married,8,Human Resources,No,2342,0,1,1,3,4,6,0,5,0
